Komentar_Asli,Komentar_Labeling,Komentar_Bersih,Sentimen,Confidence_Score,Panjang_Karakter,Jumlah_Kata
Upgrade tipis banget ternyata ya😭,Upgrade tipis banget ternyata ya😭,upgrade tipis banget nyata,Negatif,68.82,33,5
Bang riview hp honor win,Bang riview hp honor win,riview handphone honor win,Netral,99.19,24,5
"Produk Samsung itu menurut saya kurang awet, berkali kali punya produk Samsung selalu kecewa, padahal pemakaian juga normal normal aja
Banyak hal mulai dari baterai kembung di M 12, LCD mati mendadak di A 14 milik Anak saya, dan di M 12 lainya kena air dikit langsung Mati total sampai sekarang jadi barang bekas tak berguna padahal tergolong HP muda keluaran diatas 2020.
Samsung cuma unggul teknologi tapi untuk kualitas Bang kurang awet.
Tidak bermaksud menjelekkan Samsung tapi sebagai pelanggan Samsung Saya sangat kecewa","Produk Samsung itu menurut saya kurang awet, berkali kali punya produk Samsung selalu kecewa, padahal pemakaian juga normal normal aja Banyak hal mulai dari baterai kembung di M 12, LCD mati mendadak di A 14 milik Anak saya, dan di M 12 lainya kena air dikit langsung Mati total sampai sekarang jadi barang bekas tak berguna padahal tergolong HP muda keluaran diatas 2020. Samsung cuma unggul teknologi tapi untuk kualitas Bang kurang awet. Tidak bermaksud menjelekkan Samsung tapi sebagai pelanggan Samsung Saya sangat kecewa",produk samsung turut kurang awet kali kali punya produk samsung selalu kecewa padahal pakai juga normal normal banyak hal mulai baterai kembung 12 lcd mati dadak 14 milik anak 12 lai kena air dikit langsung mati total sampai sekarang jadi barang bekas tak guna padahal golong handphone muda keluar atas 2020 samsung cuma unggul teknologi kualitas kurang awet tidak maksud jelek samsung bagai langgan samsung sangat kecewa,Negatif,99.72,526,84
"Baru kepikiran juga bang, harusnya A56 5G dapat update soal zoom biar lebih mulus. Semoga di OneUI 8.5 nanti bisa","Baru kepikiran juga bang, harusnya A56 5G dapat update soal zoom biar lebih mulus. Semoga di OneUI 8.5 nanti bisa",baru pikir juga harus a56 5g dapat update soal zoom lebih mulus moga oneui nanti,Positif,68.02,113,20
stay a56 dulu,stay a56 dulu,stay a56 dulu,Netral,85.61,13,3
"Mending S25 FE sih 😂, saya pakek","Mending S25 FE sih 😂, saya pakek",mending s25 fe sih pakek,Negatif,77.0,32,7
apakah hanya hp samsung sy yang susah nangkap jaringan.,apakah hanya hp samsung sy yang susah nangkap jaringan.,apakah hanya handphone samsung sy susah nangkap jaring,Negatif,88.04,55,9
A55 lah yang masih wangi sampai sekarang 😂,A55 lah yang masih wangi sampai sekarang 😂,a55 lah masih wangi sampai sekarang,Positif,44.02,42,8
Masih gue liatin,Masih gue liatin,masih gue liatin,Negatif,68.98,16,3
rasanya kayak facelift,rasanya kayak facelift,rasa kayak facelift,Negatif,72.88,22,3
Yang paling menarik cuma versi Bluetooth 6.0. soalnya kalo pake tws minim latensi,Yang paling menarik cuma versi Bluetooth 6.0. soalnya kalo pake tws minim latensi,paling tarik cuma versi bluetooth soal pake tws minim latensi,Positif,83.46,81,13
inilah salah satu alasan kenapa kita ngga boleh overproud terhadap sebuah brand,inilah salah satu alasan kenapa kita ngga boleh overproud terhadap sebuah brand,ini salah satu alas kenapa ngga boleh overproud hadap brand,Negatif,83.02,79,12
DI DALAM NAMA YESUS AKU BERDOA BISA MAMPU BELI HP TERBAIK DI TAHUN 2026 INI... AMEN,DI DALAM NAMA YESUS AKU BERDOA BISA MAMPU BELI HP TERBAIK DI TAHUN 2026 INI... AMEN,dalam nama yesus aku doa mampu beli handphone baik tahun 2026 amen,Netral,39.29,83,16
"Setelah A52S, seri A samsung udh gak ada lgi  yg se all rounder A52S","Setelah A52S, seri A samsung udh gak ada lgi yg se all rounder A52S",telah a52s seri samsung tidak lgi se all rounder a52s,Netral,76.47,68,14
"Jangan kan itu bang. Ponakan saya beli hp minta nya A07 8/256. Yg harga ofline nya disini 2,6. Sudah saya bilang harga segitu,udah banyak hp yg kameranya sama mesin nya bagus. Tpi dia pilih samsung coba..","Jangan kan itu bang. Ponakan saya beli hp minta nya A07 8/256. Yg harga ofline nya disini 2,6. Sudah saya bilang harga segitu,udah banyak hp yg kameranya sama mesin nya bagus. Tpi dia pilih samsung coba..",jangan kan ponakan beli handphone minta a07 256 harga ofline sini bilang harga segitu banyak handphone kamera sama mesin bagus tpi dia pilih samsung coba,Negatif,97.58,204,36
"Udah a57 aja.. a55 skrg aja masih nyaman bgt, alhamdulillah badak 😂","Udah a57 aja.. a55 skrg aja masih nyaman bgt, alhamdulillah badak 😂",a57 a55 skrg masih nyaman banget alhamdulillah badak,Positif,81.91,67,12
oppo reno 15 pro 5G bg,oppo reno 15 pro 5G bg,oppo reno 15 pro 5g bg,Netral,86.16,22,6
"Samsung itu walaupun gitu2 aja bentuk camera nya tpi sllu d tunggu update an nya, saking bagus dari bbrpa fitur","Samsung itu walaupun gitu2 aja bentuk camera nya tpi sllu d tunggu update an nya, saking bagus dari bbrpa fitur",samsung walaupun gitu2 bentuk camera tpi sllu tunggu update an saking bagus bbrpa fitur,Positif,99.2,111,20
"A35 user nih. Adem² aja, ga ada problem sama sekali. Lancar jaya soalnya make bener² selayaknya hape, no sosmed cm youtube sana WA doang. Pengen kamera bagus?, belinya kamera beneran, bukan hape. Alhamdulillah dari mulai nokia bata, sony ericson, iPhone 3gs sampe skrng ga ada yg rusak masih nyala normal kalo makenya sesuai fungsi utama, yaitu Komunikasi. 😂😂😂","A35 user nih. Adem² aja, ga ada problem sama sekali. Lancar jaya soalnya make bener² selayaknya hape, no sosmed cm youtube sana WA doang. Pengen kamera bagus?, belinya kamera beneran, bukan hape. Alhamdulillah dari mulai nokia bata, sony ericson, iPhone 3gs sampe skrng ga ada yg rusak masih nyala normal kalo makenya sesuai fungsi utama, yaitu Komunikasi. 😂😂😂",a35 user nih adem tidak problem sama sekali lancar jaya soal make bener layak hape no sosmed cm youtube sana wa doang ken kamera bagus beli kamera beneran bukan hape alhamdulillah mulai nokia bata sony ericson iphone 3gs sampe skrng tidak rusak masih nyala normal makenya sesuai fungsi utama yaitu komunikasi,Positif,74.92,360,58
Masssa 7 jutaan UFS 3.1 kalah jauh sm poco x8 pro yg udah UFS 4.1😂,Masssa 7 jutaan UFS 3.1 kalah jauh sm poco x8 pro yg udah UFS 4.1😂,masssa juta ufs kalah jauh sama poco x8 pro ufs,Negatif,88.24,66,15
"Masih bertahan di A52 5g, maunya ganti ke A57 5g tahun ini, liat review nya jadi mikir lagi dah, btw pemakaian A52 5g selama ini cuma ganti batre aja sekali karna sering main mlbb wkwk, terus dari kualitas vidio juga udh drop geternya parah, sisanya tombol fisik (volume/power) udh pada copot, yaa sesuai lahh ya sama keluhan user A52 5g yg lain lem dibodynya juga kalah tergerus waktu juga udh 2 kali ini ngelem body hp wkwk","Masih bertahan di A52 5g, maunya ganti ke A57 5g tahun ini, liat review nya jadi mikir lagi dah, btw pemakaian A52 5g selama ini cuma ganti batre aja sekali karna sering main mlbb wkwk, terus dari kualitas vidio juga udh drop geternya parah, sisanya tombol fisik (volume/power) udh pada copot, yaa sesuai lahh ya sama keluhan user A52 5g yg lain lem dibodynya juga kalah tergerus waktu juga udh 2 kali ini ngelem body hp wkwk",masih tahan a52 5g mau ganti a57 5g tahun liat review jadi mikir lagi dah btw pakai a52 5g lama cuma ganti batre sekali karna sering main mlbb wkwk terus kualitas vidio juga drop geternya parah sisa tombol fisik volume power pada copot yaa sesuai lahh sama keluh user a52 5g lain lem dibodynya juga kalah gerus waktu juga kali ngelem body handphone wkwk,Negatif,99.64,425,77
lagian lama banget up nya aku udah beli kemarin pagi 🤣,lagian lama banget up nya aku udah beli kemarin pagi 🤣,lagi lama banget up aku beli kemarin pagi,Negatif,99.66,54,11
Kayak kurang disebut A57 lebih masuk disebut Samsung A56s :),Kayak kurang disebut A57 lebih masuk disebut Samsung A56s :),kayak kurang sebut a57 lebih masuk sebut samsung a56s,Netral,88.16,60,10
Tiada inovasi yang berarti untuk seri kali ini. Mending lari ke vivo v70 sekalian dah,Tiada inovasi yang berarti untuk seri kali ini. Mending lari ke vivo v70 sekalian dah,tiada inovasi arti seri kali mending lari vivo v70 sekali dah,Negatif,73.74,85,15
Saya nunggu yg A5 MILIAR saja deh😅,Saya nunggu yg A5 MILIAR saja deh😅,nunggu a5 miliar deh,Negatif,97.26,34,7
jadi kalau mau beli.. harus punya ordal di samsung.. harga lebih miring jadinya,jadi kalau mau beli.. harus punya ordal di samsung.. harga lebih miring jadinya,jadi mau beli harus punya ordal samsung harga lebih miring jadi,Positif,95.93,79,13
"Brand yg bikin bosan, ntah apa yg ditonjolkan nya sebagai daya jual, dengan banyak brand lain dgn harga yg selevel ngasih spek monster","Brand yg bikin bosan, ntah apa yg ditonjolkan nya sebagai daya jual, dengan banyak brand lain dgn harga yg selevel ngasih spek monster",brand bikin bosan ntah apa tonjol bagai daya jual banyak brand lain dgn harga level ngasih spesifikasi monster,Positif,58.65,134,23
Astagfirullah harganya,Astagfirullah harganya,astagfirullah harga,Negatif,95.82,22,2
Gak jadi beli😢,Gak jadi beli😢,tidak jadi beli,Negatif,99.49,14,3
"Samsung selalu jadi favorit banyak orang yaa.. walaupun sering di kritik, tapi penjualan slalu no 1, dan viewersnya gede2 apalagi waktu review A55","Samsung selalu jadi favorit banyak orang yaa.. walaupun sering di kritik, tapi penjualan slalu no 1, dan viewersnya gede2 apalagi waktu review A55",samsung selalu jadi favorit banyak orang yaa walaupun sering kritik jual slalu no viewersnya gede2 apalagi waktu review a55,Positif,99.64,146,23
Sinyalnya kaga nyaman,Sinyalnya kaga nyaman,sinyal kaga nyaman,Negatif,99.9,21,3
"Apa akan hadir storage 521gb/1tb??? Mengingat 256gb udah sesak buat aplikasi sekarang hhe, penasaran","Apa akan hadir storage 521gb/1tb??? Mengingat 256gb udah sesak buat aplikasi sekarang hhe, penasaran",apa akan hadir storage 521gb 1tb ingat 256gb sesak buat aplikasi sekarang hhe penasaran,Negatif,70.29,100,14
Saya lihat video ini pakai samsung A56 dan Alhamdulillah saya bersyukur sekali ❤,Saya lihat video ini pakai samsung A56 dan Alhamdulillah saya bersyukur sekali ❤,lihat video pakai samsung a56 alhamdulillah syukur sekali,Positif,97.27,80,13
Motorolla the best,Motorolla the best,motorolla the best,Positif,73.03,18,3
Gua yg make iqoo z10r aja udh bersyukur asal batrenya badak ajalah bisa d pake seharian,Gua yg make iqoo z10r aja udh bersyukur asal batrenya badak ajalah bisa d pake seharian,gua make iqoo z10r syukur asal batrenya badak aja pake hari,Positif,90.22,87,16
masih ada yang pakai SAMSUNG S10 PLUS???saya dari 2019 sampe sekarang masih jago....,masih ada yang pakai SAMSUNG S10 PLUS???saya dari 2019 sampe sekarang masih jago....,masih pakai samsung s10 plus 2019 sampe sekarang masih jago,Negatif,64.16,84,13
Masih betaah sama samsung A52S 😊,Masih betaah sama samsung A52S 😊,masih betaah sama samsung a52s,Netral,96.98,32,6
Masih make A54 256 masih oke sampe sekarang.,Masih make A54 256 masih oke sampe sekarang.,masih make a54 256 masih oke sampe sekarang,Positif,93.22,44,8
ini soc nya sama A55 yaa? bearti nnti ada kemungkinan susah nangkep sinyal dong 😢,ini soc nya sama A55 yaa? bearti nnti ada kemungkinan susah nangkep sinyal dong 😢,soc sama a55 yaa bearti nnti mungkin susah nangkep sinyal dong,Negatif,99.31,81,15
"Yang beli nih hape paling ga mau iphone tapi ga mau juga hape cina, jadinya pilih samsung 😅","Yang beli nih hape paling ga mau iphone tapi ga mau juga hape cina, jadinya pilih samsung 😅",beli nih hape paling tidak mau iphone tidak mau juga hape cina jadi pilih samsung,Negatif,99.06,91,18
"Nonton pake a56, ini hp udah cukup buat sehari²
Kalo mau upgrade dari a56 mending langsung seri FE 
Penyakit a56 panas😂jujur a56 gw pernah dicuci sama dimasukin ke kulkas saking panasnya tapi aman² aja","Nonton pake a56, ini hp udah cukup buat sehari² Kalo mau upgrade dari a56 mending langsung seri FE Penyakit a56 panas😂jujur a56 gw pernah dicuci sama dimasukin ke kulkas saking panasnya tapi aman² aja",nonton pake a56 handphone cukup buat hari mau upgrade a56 mending langsung seri fe sakit a56 panas jujur a56 gw pernah cuci sama dimasukin kulkas saking panas aman,Positif,89.02,201,34
Masih setia A50 😂,Masih setia A50 😂,masih setia a50,Positif,88.0,17,4
"masih beruntung dapet 14T 12/512 6jt kecil setahun kemarin, in this economy midrange 12/256 aja nembus 8.999.000🥲","masih beruntung dapet 14T 12/512 6jt kecil setahun kemarin, in this economy midrange 12/256 aja nembus 8.999.000🥲",masih untung dapet 14t 12 512 6jt kecil tahun kemarin in this economy midrange 12 256 nembus 999 000,Positif,95.03,113,17
Nunggu sebulan lagi beli ini. Kalau awal2 pasti mahal,Nunggu sebulan lagi beli ini. Kalau awal2 pasti mahal,nunggu bulan lagi beli awal2 pasti mahal,Negatif,99.24,53,9
a56 juga belum kebeli eh udh keluar lagi a57,a56 juga belum kebeli eh udh keluar lagi a57,a56 juga belum kebel eh keluar lagi a57,Negatif,99.16,44,9
Masih setia pada A55,Masih setia pada A55,masih setia pada a55,Positif,91.05,20,4
Poco x8 pro: 🗿🗿🗿,Poco x8 pro: 🗿🗿🗿,poco x8 pro,Netral,94.64,16,4
Ga nyesel tahun lalu beli a56 sebelum harga ram naik,Ga nyesel tahun lalu beli a56 sebelum harga ram naik,tidak nyesel tahun lalu beli a56 belum harga ram naik,Positif,86.1,52,10
iqoo 15r aja dihantem ama pocong x8pm apalagi cuman hp one ui super knox.. safety use bisa diakalin dengan sedikit effort bagi yg paham,iqoo 15r aja dihantem ama pocong x8pm apalagi cuman hp one ui super knox.. safety use bisa diakalin dengan sedikit effort bagi yg paham,iqoo 15r dihantem ama pocong x8pm apalagi cuman handphone one ui super knox safety use diakalin sedikit effort bagi paham,Negatif,90.01,135,24
Ngantuk dengerinnya😅,Ngantuk dengerinnya😅,ngantuk dengerinnya,Negatif,99.59,20,2
Exynos emang busuk,Exynos emang busuk,exynos emang busuk,Negatif,99.79,18,3
Hape mid range diatas 7 jt itu menurut gua kurang worth it,Hape mid range diatas 7 jt itu menurut gua kurang worth it,hape mid range atas jt turut gua kurang bagus,Negatif,97.56,58,12
intinya bukan masalah brand lain speknya lebih unggul dr samsung tapi ini masalah jual nama brand juga secara samsung udah bs di bilang legend di dunia elektronik,intinya bukan masalah brand lain speknya lebih unggul dr samsung tapi ini masalah jual nama brand juga secara samsung udah bs di bilang legend di dunia elektronik,inti bukan masalah brand lain speknya lebih unggul samsung masalah jual nama brand juga cara samsung bs bilang legend dunia elektronik,Negatif,57.39,162,27
A55 hadir ram 12 dah cukup semuga bisa jangka panjang amiiin,A55 hadir ram 12 dah cukup semuga bisa jangka panjang amiiin,a55 hadir ram 12 dah cukup semuga jangka panjang amiiin,Positif,75.24,60,11
Mana harganya hadeuh,Mana harganya hadeuh,mana harga hadeuh,Negatif,99.2,20,3
Masih bertahan dengan seri A52S yg sudah hampir 5 tahun,Masih bertahan dengan seri A52S yg sudah hampir 5 tahun,masih tahan seri a52s hampir tahun,Positif,60.76,55,10
Impression to A57 : Meeeehhhhhhhhhhhhhhhhhhhhhh,Impression to A57 : Meeeehhhhhhhhhhhhhhhhhhhhhh,impression to a57 meeeehhhhhhhhhhhhhhhhhhhhhh,Negatif,82.92,47,5
sampah a57 ini (aku yg masih pake a05😔),sampah a57 ini (aku yg masih pake a05😔),sampah a57 aku masih pake a05,Negatif,98.86,39,8
"Samsung nih brand stabil dari segi desainnya, brandinganya, fiturnya, apalagi jangka panjang. hp bapak gw ajah makek samsung awet banget, paling rusak minor doang. tombol powernya masuk ke dalam, tapi yang laen sih aman2 ajah. makanya tier list samsung dibawah apple.","Samsung nih brand stabil dari segi desainnya, brandinganya, fiturnya, apalagi jangka panjang. hp bapak gw ajah makek samsung awet banget, paling rusak minor doang. tombol powernya masuk ke dalam, tapi yang laen sih aman2 ajah. makanya tier list samsung dibawah apple.",samsung nih brand stabil segi desain brandinganya fiturnya apalagi jangka panjang handphone bapak gw ajah makek samsung awet banget paling rusak minor doang tombol powernya masuk dalam laen sih aman2 ajah makanya tier list samsung bawah apple,Positif,98.58,267,41
"Alhamdulillah,, Nonton pakai Samsung A54","Alhamdulillah,, Nonton pakai Samsung A54",alhamdulillah nonton pakai samsung a54,Positif,86.89,40,5
Mash nyaman pakai samsung galaxy A52,Mash nyaman pakai samsung galaxy A52,mash nyaman pakai samsung galaxy a52,Positif,92.6,36,6
SKIP GA WORT IT SAMA SEKALI 🤣,SKIP GA WORT IT SAMA SEKALI 🤣,skip tidak wort it sama sekali,Netral,76.81,29,7
gada lg kah vid barang aneh? abis eps nya? tutup?,gada lg kah vid barang aneh? abis eps nya? tutup?,gada lg kah vid barang aneh abis eps tutup,Negatif,99.12,49,10
"Kenapa laris, ya karna gw gak mampu beli yang S. Dah itu aja😂","Kenapa laris, ya karna gw gak mampu beli yang S. Dah itu aja😂",kenapa laris karna gw tidak mampu beli dah,Negatif,98.77,61,13
wah,wah,wah,Netral,71.54,3,1
Review iPhone luna,Review iPhone luna,review iphone luna,Netral,57.55,18,3
"Nonton pakai samsung A8 2018 
saya isolasi karena habis ganti lcd hehe",Nonton pakai samsung A8 2018 saya isolasi karena habis ganti lcd hehe,nonton pakai samsung a8 2018 isolasi karena habis ganti lcd hehe,Netral,91.32,70,12
manTul,manTul,mantul,Netral,61.39,6,1
gue yang masih pake Samsung A54😅,gue yang masih pake Samsung A54😅,gue masih pake samsung a54,Negatif,65.44,32,6
"berhubung hp sya ini dah ga ketolong 😂 gara² daleman nya udh patah plus simcard ga kebaca dan ga bisa di service (karna resiko mati total), jadi nya beli baru aja 😂🙏 yaa harus liat review nya dulu dri bang david 👍👍","berhubung hp sya ini dah ga ketolong 😂 gara² daleman nya udh patah plus simcard ga kebaca dan ga bisa di service (karna resiko mati total), jadi nya beli baru aja 😂🙏 yaa harus liat review nya dulu dri bang david 👍👍",hubung handphone sya dah tidak tolong gara dalem patah plus simcard tidak baca tidak service karna resiko mati total jadi beli baru yaa harus liat review dulu dri david,Negatif,78.52,214,42
"Bezel atas dan bawah masih lbih tebel dripada bezel sampingnya😅
Harga juga lagi mahal mahalnya yg ktanya karena klngkaan ram",Bezel atas dan bawah masih lbih tebel dripada bezel sampingnya😅 Harga juga lagi mahal mahalnya yg ktanya karena klngkaan ram,bezel atas bawah masih lbih tebel dripada bezel samping harga juga lagi mahal mahal ktanya karena klngkaan ram,Positif,87.17,124,20
"Apalah daya, aku masih generasi A20 dgn kekuatan sinyal terlemah","Apalah daya, aku masih generasi A20 dgn kekuatan sinyal terlemah",apa daya aku masih generasi a20 dgn kuat sinyal lemah,Negatif,88.27,64,10
Masih setia make A51 dr 2020😂,Masih setia make A51 dr 2020😂,masih setia make a51 2020,Positif,65.46,29,6
A54 masih setia,A54 masih setia,a54 masih setia,Positif,78.71,15,3
Samsung kayanya dananya habis dipake riset privacy screen sama horizontal lock deh. Jadi upgrade2 lain malah gak ada yg kerasa. Gak salah sii berinovasi. Cmn kalo sistemnya begini org bakal mikir2 mau upgrade dari satu hp ke hp lain. 😅,Samsung kayanya dananya habis dipake riset privacy screen sama horizontal lock deh. Jadi upgrade2 lain malah gak ada yg kerasa. Gak salah sii berinovasi. Cmn kalo sistemnya begini org bakal mikir2 mau upgrade dari satu hp ke hp lain. 😅,samsung kaya dana habis dipake riset privacy screen sama horizontal lock deh jadi upgrade2 lain malah tidak rasa tidak salah sii inovasi cmn sistem begini org bakal mikir2 mau upgrade satu handphone handphone lain,Positif,55.43,235,40
"Gw pake A56 overall puas tp aga nyesel knp dlu g ambil S25FE aja sklian..tpi yaweslah, nanti upgrade klo udh A59 aja kali..","Gw pake A56 overall puas tp aga nyesel knp dlu g ambil S25FE aja sklian..tpi yaweslah, nanti upgrade klo udh A59 aja kali..",gw pake a56 overall puas aga nyesel knp dlu ambil s25fe sklian tpi yaweslah nanti upgrade klo a59 kali,Negatif,58.81,123,23
Nunggu samsung A7x,Nunggu samsung A7x,nunggu samsung a7x,Netral,88.55,18,3
"Emang ini waktunya istirahat buat user samsung. Kalau A56 masih nyaman dipake, artinya memang belum waktunya ganti. 😂","Emang ini waktunya istirahat buat user samsung. Kalau A56 masih nyaman dipake, artinya memang belum waktunya ganti. 😂",emang waktu istirahat buat user samsung a56 masih nyaman dipake arti memang belum waktu ganti,Negatif,76.57,117,18
User A52s hadir 😁,User A52s hadir 😁,user a52s hadir,Netral,89.96,17,4
Harga segitu mending flagship lama aja gak sih.. 😅,Harga segitu mending flagship lama aja gak sih.. 😅,harga segitu mending flagship lama tidak sih,Negatif,99.58,50,9
yang masih nnton pake A54 😅,yang masih nnton pake A54 😅,masih nnton pake a54,Negatif,78.16,27,6
"Lagi nonton pake samsung s24 , semoga kebeli buat orangtua","Lagi nonton pake samsung s24 , semoga kebeli buat orangtua",lagi nonton pake samsung s24 moga kebel buat orangtua,Positif,58.46,58,10
Seprrti biasa....overprice😂 aku udh pake a56 1 thn dn udh ada bbrp kendala,Seprrti biasa....overprice😂 aku udh pake a56 1 thn dn udh ada bbrp kendala,seprrti biasa overprice aku pake a56 thn dn bbrp kendala,Negatif,96.64,74,13
"Ngaco ni merk, upgrade minim, harga selangit","Ngaco ni merk, upgrade minim, harga selangit",ngaco ni merk upgrade minim harga langit,Negatif,96.43,44,7
Samsung A56s,Samsung A56s,samsung a56s,Netral,98.32,12,2
"Istri saya masih sayang sama A51, karena hasil perjuangan waktu awal kerja dan nama nya bagus, kayak 'area 51' 
Cuma HP nya sudah tidak bisa nyala, kalau ada yg jual, biar saya beli","Istri saya masih sayang sama A51, karena hasil perjuangan waktu awal kerja dan nama nya bagus, kayak 'area 51' Cuma HP nya sudah tidak bisa nyala, kalau ada yg jual, biar saya beli",istri masih sayang sama a51 karena hasil juang waktu awal kerja nama bagus kayak area 51 cuma handphone tidak nyala jual beli,Positif,94.8,181,33
Masih normal jaya A52 ❤ Pemakaian sudah berjalan 4 Tahun,Masih normal jaya A52 ❤ Pemakaian sudah berjalan 4 Tahun,masih normal jaya a52 pakai jalan tahun,Netral,41.18,56,10
Gila....udte sma harga ..gk ng0tak,Gila....udte sma harga ..gk ng0tak,gila udte sma harga tidak ng0tak,Negatif,69.49,34,5
Bang bahas tecno camon 50 dong 🙏,Bang bahas tecno camon 50 dong 🙏,bahas tecno camon 50 dong,Netral,96.18,32,7
hahaa lucu sama samsung asli,hahaa lucu sama samsung asli,hahaa lucu sama samsung asli,Negatif,51.74,28,5
"Aku user A14,dan mau beli karena meemori udah habis dan aku pengguna samsung dan pengguna hp yang ngak ribet cari isi ny yang penting bisa di pakek dan menyusuaikan budget aja","Aku user A14,dan mau beli karena meemori udah habis dan aku pengguna samsung dan pengguna hp yang ngak ribet cari isi ny yang penting bisa di pakek dan menyusuaikan budget aja",aku user a14 mau beli karena meemori habis aku guna samsung guna handphone ngak ribet cari isi ny penting pakek menyusuaikan budget,Positif,73.29,175,31
"Haduhhh,,,, brand Elekronik Korea hampir semua kurang berkembang masalah Desain,,,, kecuali Mobil","Haduhhh,,,, brand Elekronik Korea hampir semua kurang berkembang masalah Desain,,,, kecuali Mobil",haduhhh brand elekronik korea hampir semua kurang kembang masalah desain kecuali mobil,Negatif,99.35,97,12
Kalau dari A52S ke A57 sperti nya pas nih buat upgrade,Kalau dari A52S ke A57 sperti nya pas nih buat upgrade,a52s a57 sperti pas nih buat upgrade,Netral,47.44,54,11
Nonton dari A54 wkw,Nonton dari A54 wkw,nonton a54 wkw,Netral,55.96,19,4
"Udah 2 orang temenku yang ganti hape dari A52, bukan ke A57, tapi ke s25fe. Ga tau apa memang dirancang untuk saling kanibal gini, tapi dengan harga segitu, kayak emang jauh lebih logis beli s25fe gasih?. Alasan beli a57 kayak cuman lebih baru aja.","Udah 2 orang temenku yang ganti hape dari A52, bukan ke A57, tapi ke s25fe. Ga tau apa memang dirancang untuk saling kanibal gini, tapi dengan harga segitu, kayak emang jauh lebih logis beli s25fe gasih?. Alasan beli a57 kayak cuman lebih baru aja.",orang temenku ganti hape a52 bukan a57 s25fe tidak tau apa memang rancang saling kanibal gin harga segitu kayak emang jauh lebih logis beli s25fe gasih alas beli a57 kayak cuman lebih baru,Negatif,97.92,248,44
"Aku suka samsung dari cuma sekarang sudah pindah, masalahnya tangkapan sinyal samsung terlalu lemah dibanding yg lain","Aku suka samsung dari cuma sekarang sudah pindah, masalahnya tangkapan sinyal samsung terlalu lemah dibanding yg lain",aku suka samsung cuma sekarang pindah masalah tangkap sinyal samsung terlalu lemah banding lain,Positif,92.83,117,17
Bang mohon info nya apakah samsung yang yg seri A7 mentok di A73 kah bang ...,Bang mohon info nya apakah samsung yang yg seri A7 mentok di A73 kah bang ...,mohon info apakah samsung seri a7 mentok a73 kah,Netral,92.9,77,16
Baterainya berapa?,Baterainya berapa?,baterai berapa,Negatif,92.58,18,2
Agak mahal mendekati harga S series😢,Agak mahal mendekati harga S series😢,agak mahal dekat harga series,Negatif,90.45,36,6
Astaga taun lalu S25 FE dapet 9 hampir 10 kyknya,Astaga taun lalu S25 FE dapet 9 hampir 10 kyknya,astaga taun lalu s25 fe dapet hampir 10 kyknya,Negatif,98.11,48,10
"Beli samsung itu beli seri sebelumnya karena emang nih hp buat jangka panjang bahkan yg rilis 2 tahun lalu pun masih wort it karena jaminan update nya, daripada beli yg baru rilis harga nya naik ga ngotak tapi upgrade nya dikit.","Beli samsung itu beli seri sebelumnya karena emang nih hp buat jangka panjang bahkan yg rilis 2 tahun lalu pun masih wort it karena jaminan update nya, daripada beli yg baru rilis harga nya naik ga ngotak tapi upgrade nya dikit.",beli samsung beli seri belum karena emang nih handphone buat jangka panjang bahkan rilis tahun lalu pun masih wort it karena jamin update daripada beli baru rilis harga naik tidak ngotak upgrade dikit,Positif,95.26,228,41
"Brandnya sih, samsung a10 ku aja masih idup. Blm pernah ganti batre juga dari awal, dipake anak buat muat main FF ama ML, bar bar lagi makenya 😂","Brandnya sih, samsung a10 ku aja masih idup. Blm pernah ganti batre juga dari awal, dipake anak buat muat main FF ama ML, bar bar lagi makenya 😂",brandnya sih samsung a10 ku masih idup blm pernah ganti batre juga awal dipake anak buat muat main ff ama ml bar bar lagi makenya,Positif,79.85,144,28
"betul samsung uda terlalu nyaman, makanya banyak yg rasis di korea 🗿","betul samsung uda terlalu nyaman, makanya banyak yg rasis di korea 🗿",betul samsung uda terlalu nyaman makanya banyak ras korea,Negatif,98.85,68,12
Masih setia sama samsung a53 😂,Masih setia sama samsung a53 😂,masih setia sama samsung a53,Positif,83.97,30,6
jujur kek S series dan A series jadi makin mirip,jujur kek S series dan A series jadi makin mirip,jujur kek series series jadi makin mirip,Positif,83.83,48,10
HP KENTANG🔥,HP KENTANG🔥,handphone kentang,Negatif,95.84,11,2
13:56  Bangg gw mau beli A56 masih worth it gak bangg?😢 Jadi bingung,13:56 Bangg gw mau beli A56 masih worth it gak bangg?😢 Jadi bingung,13 56 bangg gw mau beli a56 masih bagus tidak bangg jadi bingung,Negatif,98.83,68,13
upgrade massive nya mungkin di serie A58,upgrade massive nya mungkin di serie A58,upgrade massive mungkin serie a58,Netral,89.5,40,7
Bismilah A57 bulan ini,Bismilah A57 bulan ini,bismilah a57 bulan,Netral,63.58,22,4
saking dikitt upgradenya david nulis pake kertas secuil😅,saking dikitt upgradenya david nulis pake kertas secuil😅,saking dikitt upgradenya david nulis pake kertas cuil,Negatif,98.27,56,8
"Samsung tuh ibarat Honda di motor.. mau minor upgrade, harga terus2 naik pun ttp aja laku wkwk","Samsung tuh ibarat Honda di motor.. mau minor upgrade, harga terus2 naik pun ttp aja laku wkwk",samsung tuh ibarat honda motor mau minor upgrade harga terus2 naik pun ttp laku wkwk,Negatif,51.39,94,17
